uri,title,author,editor,translator,introduction,illustrator,photographer,year,format,uncertain,ebook_url,volumes_issues,notes,event_count,borrow_count,purchase_count,circulation_years,updated
https://shakespeareandco.princeton.edu/books/tourrier-chinamans-opinion-us/,A Chinaman's Opinion of Us and of His Own Country,"Tourrier, Theodore",,,,,,1927,Book,False,,,,1,1,0,1928,2020-06-28T02:29:59+00:00
https://shakespeareandco.princeton.edu/books/bromfield-good-woman/,A Good Woman,"Bromfield, Louis",,,,,,1927,Book,False,,,,4,4,0,1928;1935;1927,2020-07-16T00:18:30+00:00
https://shakespeareandco.princeton.edu/books/galsworthy-modern-comedy/,A Modern Comedy,"Galsworthy, John",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.148439,,,1,1,0,1940,2021-11-14T19:40:33.839888+00:00
https://shakespeareandco.princeton.edu/books/anderson-new-testament/,A New Testament,"Anderson, Sherwood",,,,,,1927,Book,False,https://archive.org/details/newtestament0000ande/page/4/mode/2up,,,1,1,0,1927,2021-11-13T14:58:58.018910+00:00
https://shakespeareandco.princeton.edu/books/dunne-experiment-time/,An Experiment with Time,"Dunne, J. W.",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.524576,,,3,3,0,1937;1938;1934,2021-06-05T21:39:40+00:00
https://shakespeareandco.princeton.edu/books/nichols-home-series-bouquets/,Are They the Same at Home? Being a Series of Bouquets Diffidently Distributed,"Nichols, Beverley",,,,,,1927,Book,False,,,,2,2,0,1928;1931;1927,2020-04-30T19:40:17+00:00
https://shakespeareandco.princeton.edu/books/eliot-ariel-poems-journey/,Ariel Poems: Journey of the Magi,"Eliot, T. S.",,,,"Kauffer, E. McKnight",,1927,Book,False,,,,2,0,2,1932,2020-05-26T18:36:27+00:00
https://shakespeareandco.princeton.edu/books/forster-aspects-novel/,Aspects of the Novel,"Forster, E. M.",,,,,,1927,Book,False,,,,11,10,1,1928;1929;1931;1934;1935;1940,2021-03-03T01:19:16+00:00
https://shakespeareandco.princeton.edu/books/ojetti-seemed/,As They Seemed to Me,"Ojetti, Ugo",,"Furst, Henry","d'Annunzio, Gabrielle",,,1927,Book,False,,,,1,1,0,1929,2020-04-30T19:40:21+00:00
https://shakespeareandco.princeton.edu/books/riding-survey-modernist-poetry/,A Survey of Modernist Poetry,"Riding, Laura;Graves, Robert",,,,,,1927,Book,False,https://archive.org/details/surveyofmodernis00jack/page/n3/mode/2up,,,4,4,0,1928;1929;1939;1927,2021-11-04T12:15:56.382407+00:00
https://shakespeareandco.princeton.edu/books/smyth-three-legged-tour/,"A Three-Legged Tour in Greece: March 24 – May 4, 1925","Smyth, Ethel",,,,,,1927,Book,False,,,,2,2,0,1940;1943,2020-06-25T15:42:01+00:00
https://shakespeareandco.princeton.edu/books/gissing-victim-circumstances-stories/,A Victim of Circumstances and Other Stories,"Gissing, George Robert",,,,,,1927,Book,False,,,,4,4,0,1928;1929;1935;1927,2020-05-27T03:01:56+00:00
https://shakespeareandco.princeton.edu/books/murasaki-shikibu-wreath-cloud/,A Wreath of Cloud (The Tale of Genji 3),Murasaki Shikibu,"Waley, Arthur",,,,,1927,Book,False,https://archive.org/details/AWreathOfCloud/page/n1/mode/2up,,,1,1,0,1929,2021-10-28T02:39:09.024877+00:00
https://shakespeareandco.princeton.edu/books/barnum-barnums-story/,Barnum's Own Story,"Barnum, P. T.",,,,,,1927,Book,False,,,,2,2,0,1935;1927,2020-04-30T19:40:19+00:00
https://shakespeareandco.princeton.edu/books/sullivan-beethoven-spiritual-development/,Beethoven: His Spiritual Development,"Sullivan, J. W. N.",,,,,,1927,Book,False,https://archive.org/details/beethovenhisspir002615mbp,,,1,1,0,1939,2021-03-03T03:04:18+00:00
https://shakespeareandco.princeton.edu/books/turner-beethoven-search-reality/,Beethoven: The Search for Reality,"Turner, W. J.",,,,,,1927,Book,False,,,,1,1,0,1928,2020-04-30T19:40:15+00:00
